lat,lng,sat,vel,alt,day,mth,hor,min,alx,aly,hdn,tmp,hum,vwind,rwd,sailPos,bat,panel,time
-12.133940,-76.979919,7,1.52,134.70,7,8,21,14,5.88,3.91,27.59,26.6,67.3,,,211.0,12.01,0.10,0.6204526424407959
-12.133941,-76.979919,7,0.52,134.70,7,8,21,15,7.39,3.83,26.29,26.6,67.2,?,168,209.0,11.85,0.07,1.5961787700653076
-12.133942,-76.979919,7,0.15,134.70,7,8,21,15,5.19,3.43,26.38,26.6,67.2,?,-88,210.0,12.01,0.09,2.5575430393218994
-12.133942,-76.979919,7,0.15,134.70,7,8,21,15,6.53,2.28,25.63,26.6,67.2,?,-84,167.0,12.01,0.06,2.821274757385254
-12.133941,-76.979919,7,0.15,134.80,7,8,21,15,5.82,3.96,25.74,26.6,67.2,?,-68,209.0,12.11,0.10,3.620223045349121
-12.133925,-76.979919,7,3.65,134.80,7,8,21,15,5.98,3.83,25.95,26.7,67.2,?,-60,210.0,11.98,0.10,4.591238260269165
-12.133915,-76.979919,7,1.61,134.80,7,8,21,15,5.75,3.94,26.90,26.7,67.2,?,-66,209.0,12.11,0.09,5.553711414337158
-12.133915,-76.979919,7,1.61,134.80,7,8,21,15,5.40,4.81,25.50,26.6,67.2,?,-68,166.0,12.11,0.09,5.77002739906311
-12.133915,-76.979919,7,1.61,134.80,7,8,21,15,5.79,4.02,25.48,26.7,67.2,?,-76,167.0,12.11,0.06,6.816603660583496
-12.133935,-76.979911,7,0.83,134.80,7,8,21,15,5.92,3.62,27.77,26.7,67.2,?,-79,212.0,12.04,0.12,7.563983678817749
-12.133939,-76.979911,7,0.83,136.20,7,8,21,15,5.64,5.21,26.72,26.7,67.1,?,-88,211.0,12.14,0.07,8.62313723564148
-12.133942,-76.979911,7,0.19,136.20,7,8,21,15,5.62,3.80,27.69,26.7,67.1,?,-91,211.0,12.13,0.09,9.43019700050354
-12.133942,-76.979911,7,0.19,136.20,7,8,21,15,5.74,4.18,26.79,26.7,67.1,?,-90,211.0,12.08,0.10,9.703747749328613
-12.133950,-76.979911,7,0.17,136.20,7,8,21,15,5.65,4.16,26.44,26.7,67.1,?,-90,210.0,12.08,0.07,10.552387714385986
-12.133950,-76.979911,7,0.17,136.20,7,8,21,15,5.68,4.20,27.12,26.7,67.1,?,-91,167.0,12.04,0.07,10.773096561431885
-12.133950,-76.979911,7,0.17,136.20,7,8,21,15,5.53,4.07,26.35,26.7,67.1,?,-91,163.0,12.11,0.09,11.818939447402954
-12.133956,-76.979911,7,0.67,136.20,7,8,21,15,6.53,4.00,25.74,26.7,67.1,?,-90,208.0,12.16,0.12,12.560982942581177
-12.133958,-76.979911,7,0.67,137.20,7,8,21,15,5.44,4.04,25.77,26.7,67.1,?,-95,209.0,12.13,0.09,13.627566576004028
-12.133962,-76.979911,7,0.33,137.20,7,8,21,15,5.55,4.01,25.46,26.7,67.1,?,-99,210.0,12.10,0.10,14.434054851531982
-12.133962,-76.979911,7,0.33,137.20,7,8,21,15,5.72,4.16,26.06,26.7,67.1,?,-101,207.0,12.17,0.12,14.703077554702759
-12.133962,-76.979911,7,0.33,137.20,7,8,21,15,5.49,4.16,26.00,26.7,67.1,?,-103,167.0,12.08,0.09,14.91815733909607
-12.133965,-76.979911,7,0.11,137.20,7,8,21,15,5.76,4.07,24.63,26.7,67.1,?,-106,210.0,12.11,0.12,15.557278156280518
-12.133965,-76.979911,7,0.11,137.20,7,8,21,15,5.53,3.93,26.67,26.7,67.1,?,-107,165.0,12.17,0.10,15.774062395095825
-12.133966,-76.979911,7,0.11,137.40,7,8,21,15,5.60,4.19,25.94,26.7,67.1,?,-107,210.0,12.13,0.09,16.624298810958862
-12.133968,-76.979911,7,1.20,137.40,7,8,21,15,5.60,3.79,26.21,26.7,67.1,?,-108,208.0,12.13,0.10,17.43309235572815
-12.133968,-76.979911,7,1.20,137.40,7,8,21,15,5.73,4.38,25.89,26.7,67.1,?,-108,211.0,12.13,0.10,17.702208995819092
-12.133968,-76.979911,7,0.43,137.40,7,8,21,15,5.90,3.82,26.81,26.7,67.1,?,-107,209.0,12.11,0.09,18.55465078353882
-12.133968,-76.979911,7,0.43,137.40,7,8,21,15,5.27,4.08,26.47,26.7,67.1,?,-107,167.0,12.07,0.06,18.775449752807617
-12.133968,-76.979911,7,0.43,137.40,7,8,21,15,5.26,4.48,27.35,26.7,67.1,?,-110,164.0,12.13,0.10,19.82290768623352
-12.133973,-76.979919,7,0.52,137.40,7,8,21,15,5.64,4.02,25.98,26.7,67.1,?,-115,209.0,12.10,0.12,20.56708860397339
-12.133973,-76.979919,7,0.52,137.80,7,8,21,15,5.70,4.23,24.88,26.7,67.1,?,-121,209.0,12.17,0.07,21.621737957000732
-12.133974,-76.979919,7,0.31,137.80,7,8,21,15,5.70,4.17,26.09,26.7,67.1,?,-116,208.0,12.13,0.09,22.430083751678467
-12.133974,-76.979919,7,0.31,137.80,7,8,21,15,5.79,4.21,26.12,26.7,67.0,?,-113,210.0,12.13,0.09,22.702365398406982
-12.133975,-76.979919,7,0.00,137.80,7,8,21,15,5.94,4.15,25.84,26.7,67.0,?,-115,208.0,12.10,0.10,23.556588649749756
-12.133975,-76.979919,7,0.00,137.80,7,8,21,15,5.53,4.42,25.45,26.7,67.0,?,-120,168.0,12.14,0.09,23.774577856063843
-12.133975,-76.979919,7,0.00,137.80,7,8,21,15,5.19,3.84,26.21,26.7,67.0,?,-121,165.0,12.18,0.09,24.82016682624817
-12.133982,-76.979919,7,0.37,137.80,7,8,21,15,5.96,3.85,26.26,26.7,67.0,?,-109,207.0,12.14,0.07,25.568928480148315
-12.133984,-76.979919,7,0.37,140.40,7,8,21,15,5.83,3.95,27.33,26.7,67.0,?,-111,209.0,12.07,0.10,26.623005628585815
-12.133985,-76.979919,7,0.35,140.40,7,8,21,15,5.83,3.90,26.15,26.7,67.0,?,-126,208.0,12.13,0.07,27.430856943130493
-12.133985,-76.979919,7,0.35,140.40,7,8,21,15,5.42,4.08,26.44,26.7,67.0,?,-124,209.0,12.11,0.10,27.701334953308105
-12.133985,-76.979919,7,0.94,140.40,7,8,21,15,5.84,3.96,26.96,26.7,66.9,?,-121,209.0,12.16,0.12,28.55625891685486
-12.133985,-76.979919,7,0.94,140.40,7,8,21,15,5.70,3.70,26.70,26.7,66.9,?,-122,164.0,12.13,0.09,28.77300524711609
-12.133984,-76.979919,7,0.87,140.40,7,8,21,15,5.57,4.07,27.47,26.7,66.9,?,-138,209.0,12.10,0.12,30.567241668701172
-12.133984,-76.979919,7,0.87,141.50,7,8,21,15,5.46,4.09,27.20,26.7,66.9,?,-127,209.0,12.13,0.07,31.625009775161743
-12.133984,-76.979919,7,0.06,141.50,7,8,21,15,5.90,4.01,26.96,26.7,66.8,?,-111,209.0,12.14,0.07,32.59556007385254
-12.133982,-76.979919,7,0.24,141.50,7,8,21,15,5.49,4.06,26.89,26.7,66.8,?,-132,208.0,12.10,0.10,33.558467864990234
-12.133982,-76.979919,7,0.24,141.50,7,8,21,15,5.42,3.93,25.32,26.7,66.8,?,-134,167.0,12.10,0.13,33.775153398513794
-12.133982,-76.979919,7,0.24,141.50,7,8,21,15,5.53,4.01,27.24,26.7,66.8,?,-114,165.0,12.10,0.15,34.82368564605713
-12.133977,-76.979919,7,0.39,141.50,7,8,21,15,5.68,4.03,27.20,26.7,66.8,?,-111,210.0,12.07,0.10,35.56907796859741
-12.133976,-76.979919,7,0.39,142.30,7,8,21,15,5.11,4.74,26.00,26.7,66.8,?,-124,209.0,12.07,0.09,36.62440633773804
-12.133976,-76.979919,7,0.41,142.30,7,8,21,15,5.57,4.16,25.54,26.7,66.8,?,-120,208.0,12.10,0.09,37.59979462623596
-12.133975,-76.979919,7,0.09,142.30,7,8,21,15,5.53,3.92,26.58,26.7,66.8,?,-115,209.0,12.10,0.07,38.56362700462341
-12.133975,-76.979919,7,0.09,142.50,7,8,21,15,5.96,4.22,26.67,26.7,66.7,?,-126,211.0,12.11,0.09,39.625065088272095
-12.133975,-76.979919,7,0.02,142.50,7,8,21,15,5.63,4.13,25.84,26.7,66.7,?,-104,208.0,12.08,0.12,40.43382549285889
-12.133975,-76.979919,7,0.02,142.50,7,8,21,15,5.70,4.15,25.92,26.7,66.8,?,-104,211.0,12.07,0.09,40.70538330078125
-12.133975,-76.979919,7,0.26,142.50,7,8,21,15,5.76,3.92,25.80,26.7,66.8,?,-132,208.0,12.14,0.07,41.55639386177063
-12.133975,-76.979919,7,0.26,142.50,7,8,21,15,5.47,4.35,25.63,26.7,66.8,?,-132,168.0,12.04,0.07,41.77713894844055
-12.133975,-76.979919,7,0.26,142.50,7,8,21,15,5.76,3.72,26.09,26.7,66.8,?,-108,165.0,12.07,0.09,42.82296299934387
-12.133970,-76.979919,7,0.11,142.50,7,8,21,15,5.76,3.78,25.92,26.7,66.8,?,-100,208.0,12.05,0.09,43.56878161430359
-12.133968,-76.979919,7,0.11,143.50,7,8,21,15,5.57,4.26,26.49,26.7,66.8,?,-106,210.0,12.08,0.09,44.63268446922302
-12.133966,-76.979911,7,0.20,143.50,7,8,21,15,5.57,4.03,27.25,26.7,66.8,?,-109,209.0,12.11,0.07,45.441110372543335
-12.133966,-76.979911,7,0.20,143.50,7,8,21,15,5.58,3.82,26.46,26.7,66.8,?,-108,209.0,12.10,0.06,45.72834801673889
-12.133966,-76.979911,7,0.20,143.50,7,8,21,15,5.45,4.04,24.85,26.7,66.8,?,-107,167.0,12.13,0.12,45.94324851036072
-12.133964,-76.979911,7,0.35,143.50,7,8,21,15,5.39,4.47,27.51,26.7,66.8,?,-92,211.0,12.13,0.10,46.58652353286743
-12.133963,-76.979911,7,0.17,143.50,7,8,21,15,5.67,4.19,26.38,26.7,66.7,?,-70,215.0,12.13,0.09,47.5470244884491
-12.133963,-76.979911,7,0.17,143.50,7,8,21,15,5.32,4.05,27.24,26.7,66.7,?,-77,166.0,12.08,0.09,47.76727795600891
-12.133962,-76.979911,7,0.17,2.51,7,8,21,15,5.57,3.85,26.26,26.7,66.7,?,-93,209.0,12.17,0.12,48.70887565612793
-12.133960,-76.979911,7,0.07,2.51,7,8,21,15,5.44,3.85,25.52,26.7,66.7,?,-94,209.0,12.16,0.07,49.5554141998291
-12.133960,-76.979911,7,0.07,2.51,7,8,21,15,5.57,4.26,26.18,26.7,66.7,?,-94,166.0,12.13,0.10,49.77199602127075
-12.133954,-76.979911,7,0.24,2.51,7,8,21,15,5.75,4.21,25.85,26.7,66.7,?,-89,209.0,12.08,0.07,51.56596755981445
-12.133951,-76.979911,7,0.24,144.10,7,8,21,15,5.70,4.07,26.15,26.7,66.7,?,-89,210.0,12.16,0.10,52.62460279464722
-12.133949,-76.979911,7,1.11,144.10,7,8,21,15,5.77,3.81,25.50,26.7,66.7,?,-92,212.0,12.07,0.06,53.433024168014526
-12.133949,-76.979911,7,1.11,144.10,7,8,21,15,5.65,4.13,27.47,26.7,66.7,?,-92,211.0,12.02,0.06,53.702287435531616
-12.133948,-76.979911,7,0.31,144.10,7,8,21,15,5.69,3.98,26.75,26.7,66.7,?,-96,210.0,11.66,0.09,54.555099964141846
-12.133948,-76.979911,7,0.31,144.10,7,8,21,15,5.51,4.22,26.97,26.7,66.7,?,-97,168.0,12.13,0.06,54.77142906188965
-12.133948,-76.979911,7,0.31,144.10,7,8,21,15,5.50,4.32,27.45,26.8,66.7,?,-105,165.0,12.07,0.07,55.81741189956665
-12.133945,-76.979911,7,0.15,144.10,7,8,21,15,4.92,4.06,26.44,26.7,66.7,?,-110,209.0,12.07,0.09,56.562031984329224
-12.133945,-76.979911,7,0.15,144.10,7,8,21,15,5.59,4.53,27.35,26.7,66.7,?,-114,168.0,12.14,0.09,56.7783317565918
-12.133945,-76.979911,8,0.15,145.00,7,8,21,15,5.99,4.29,26.47,26.7,66.7,?,-135,211.0,12.11,0.09,57.62864875793457
-12.133944,-76.979911,8,0.00,145.00,7,8,21,15,5.65,4.28,25.17,26.7,66.7,?,-151,216.0,12.16,0.09,58.43437695503235
-12.133944,-76.979911,8,0.00,145.00,7,8,21,15,5.46,4.09,26.03,26.7,66.7,?,-154,212.0,12.11,0.07,58.71363830566406
-12.133944,-76.979911,8,0.09,145.00,7,8,21,15,5.63,4.12,26.38,26.7,66.6,?,-156,209.0,12.11,0.09,59.56339502334595
-12.133945,-76.979904,8,0.09,145.20,7,8,21,15,5.59,4.32,26.23,26.7,66.6,?,-156,210.0,12.13,0.07,60.63071966171265
-12.133946,-76.979904,8,0.28,145.20,7,8,21,16,5.89,3.92,26.85,26.7,66.6,?,-156,209.0,12.13,0.09,61.43903708457947
-12.133946,-76.979904,8,0.28,145.20,7,8,21,16,5.58,3.87,27.80,26.7,66.6,?,-156,211.0,12.14,0.09,61.71274161338806
-12.133946,-76.979904,8,0.02,145.20,7,8,21,16,6.04,3.84,26.84,26.7,66.7,?,-155,210.0,12.05,0.07,62.5622124671936
-12.133946,-76.979904,8,0.02,145.20,7,8,21,16,5.36,4.35,26.70,26.7,66.7,?,-155,166.0,12.13,0.07,62.7831597328186
